博客园Logo
首页
新闻
博问
专区
闪存
班级
代码改变世界
搜索
注册
登录
ImProgrammer
新随笔
管理
随笔 - 1333  文章 - 0  评论 - 0  阅读 - 308万
JLINKARM.DLL < JLINKARM.PAS/H >
复制代码
unit jlinkarm;

interface

uses
  SysUtils, Windows;

(* 
RegIndex    RegName
  '      CM3_FPS20',
  '      CM3_FPS21',
  '      CM3_FPS22',
  '      CM3_FPS23',
  '      CM3_FPS24',
  '      CM3_FPS25',
  '      CM3_FPS26',
  '      CM3_FPS27',
  '      CM3_FPS28',
  '      CM3_FPS29',
  '      CM3_FPS30',
  '      CM3_FPS31'
);

const            CM3_R0  = $00;
const            CM3_R1  = $01;
const            CM3_R2  = $02;
const            CM3_R3  = $03;
const            CM3_R4  = $04;
const            CM3_R5  = $05;
const            CM3_R6  = $06;
const            CM3_R7  = $07;
const            CM3_R8  = $08;
const            CM3_R9  = $09;
const           CM3_R10  = $0A;
const           CM3_R11  = $0B;
const           CM3_R12  = $0C;
const           CM3_R13  = $0D;
const           CM3_R14  = $0E;
const           CM3_R15  = $0F;
const          CM3_XPSR  = $10;
const           CM3_MSP  = $11;
const           CM3_PSP  = $12;
const           CM3_RAZ  = $13;
const          CM3_CFBP  = $14;
const          CM3_APSR  = $15;
const          CM3_EPSR  = $16;
const          CM3_IPSR  = $17;
const       CM3_PRIMASK  = $18;
const       CM3_BASEPRI  = $19;
const     CM3_FAULTMASK  = $1A;
const       CM3_CONTROL  = $1B;
const   CM3_BASEPRI_MAX  = $1C;
const         CM3_IAPSR  = $1D;
const         CM3_EAPSR  = $1E;
const         CM3_IEPSR  = $1F;
const         CM3_FPSCR  = $20;
const          CM3_FPS0  = $21;
const          CM3_FPS1  = $22;
const          CM3_FPS2  = $23;
const          CM3_FPS3  = $24;
const          CM3_FPS4  = $25;
const          CM3_FPS5  = $26;
const          CM3_FPS6  = $27;
const          CM3_FPS7  = $28;
const          CM3_FPS8  = $29;
const          CM3_FPS9  = $2A;
const         CM3_FPS10  = $2B;
const         CM3_FPS11  = $2C;
const         CM3_FPS12  = $2D;
const         CM3_FPS13  = $2E;
const         CM3_FPS14  = $2F;
const         CM3_FPS15  = $30;
const         CM3_FPS16  = $31;
const         CM3_FPS17  = $32;
const         CM3_FPS18  = $33;
const         CM3_FPS19  = $34;
const         CM3_FPS20  = $35;
const         CM3_FPS21  = $36;
const         CM3_FPS22  = $37;
const         CM3_FPS23  = $38;
const         CM3_FPS24  = $39;
const         CM3_FPS25  = $3A;
const         CM3_FPS26  = $3B;
const         CM3_FPS27  = $3C;
const         CM3_FPS28  = $3D;
const         CM3_FPS29  = $3E;
const         CM3_FPS30  = $3F;
const         CM3_FPS31  = $40;


function JLINKARM_IsConnected() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_IsConnected';

function JLINKARM_Open() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_Open';
function JLINKARM_IsOpen() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_IsOpen';
function JLINKARM_Close() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_Close';

function JLINKARM_Test() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_Test';

function JLINKARM_Go() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_Go';
function JLINKARM_GoEx(param1 : integer; param2 : integer) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_GoEx';
function JLINKARM_GoHalt() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_GoHalt';

function JLINKARM_Halt() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_Halt';
function JLINKARM_IsHalted() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_IsHalted';


function JLINKARM_SetResetType(ResetType : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_SetResetType';
function JLINKARM_SetResetDelay(ResetDelay : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_SetResetDelay';
function JLINKARM_Reset() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_Reset';

function JLINKARM_ResetNoHalt() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_ResetNoHalt';

// JLINKARM_ResetNoHalt
// JLINKARM_Reset then JLINKARM_Go

function JLINKARM_TIF_Select(is_swd_intf : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_TIF_Select';
function JLINKARM_TIF_GetAvailable(param : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_TIF_GetAvailable';


function JLINKARM_SetSpeed(jlink_speed : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_SetSpeed';
function JLINKARM_SetMaxSpeed() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_SetMaxSpeed';
function JLINKARM_GetSpeed() : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_GetSpeed';

function JLINKARM_ReadMem(memaddr : DWORD; size : DWORD; var buff : array of BYTE) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_ReadMem';
function JLINKARM_ReadMemU8(memaddr : DWORD; size : DWORD; var buff : array of BYTE; flag : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_ReadMemU8';
function JLINKARM_ReadMemU16(memaddr : DWORD; size : DWORD; var buff : array of WORD; flag : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_ReadMemU16';
function JLINKARM_ReadMemU32(memaddr : DWORD; size : DWORD; var buff : array of DWORD; flag : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_ReadMemU32';

function JLINKARM_WriteMem(memaddr : DWORD; size : DWORD; buff : array of BYTE) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_WriteMem';

function JLINKARM_WriteU8(memaddr : DWORD; data : BYTE) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_WriteU8';
function JLINKARM_WriteU16(memaddr : DWORD; data : WORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_WriteU16';
function JLINKARM_WriteU32(memaddr : DWORD; data : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_WriteU32';
function JLINKARM_WriteU64(memaddr : DWORD; data : INT64) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_WriteU64';

function JLINKARM_ReadReg(RegIndex : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_ReadReg';
function JLINKARM_WriteReg(RegIndex : DWORD; RegValue : DWORD) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_WriteReg';


function JLINKARM_ExecCommand(pbCommand : pchar; param1 : integer; param2 : integer) : integer;
  cdecl; external 'jlinkarm.dll' name 'JLINKARM_ExecCommand';

implementation

end.
复制代码
 

复制代码
 1 procedure TfrmMain.btnReadCM3RegsClick(Sender: TObject);
 2 var
 3   I : DWORD;
 4   RegValue : DWORD;
 5 begin
 6   JLINKARM_Open();
 7   JLINKARM_TIF_Select( 1 );
 8   JLINKARM_SetSpeed( 1000 );
 9   JLINKARM_Reset();
10   JLINKARM_Halt();
11 
12   for i := 0 to 64 do
13   begin
14     RegValue := JLINKARM_ReadReg(i);
15     Memo1.Lines.Add( IntToHex(i, 4) + '  ' + CM3_Registers[i] + ' : 0x' + IntToHex(RegValue, 8) );
16 
17   end;
18   JLINKARM_Close();
19 end;
复制代码
复制代码
 1 procedure TfrmMain.btnLoadAndRunClick(Sender: TObject);
 2 var
 3   i : integer;
 4   size : integer;
 5   application : array[0..32767] of byte;
 6   msp : integer;
 7   pc : integer;
 8 begin
 9   size := hex.DataSize;
10   if size > 32768 then 
11     exit;
12   for i:=0 to size-1 do
13     application[i] := hex.Data[i];
14 
15   msp := application[0] + application[1] * 256 + application[2] * 256 * 256 +
16     application[3] * 256 * 256 *256;
17   pc := application[4] + application[5] * 256 + application[6] * 256 * 256 +
18     application[7] * 256 * 256 *256;
19 
20 
21   JLINKARM_Open();
22   JLINKARM_TIF_Select( 1 );
23   JLINKARM_SetSpeed( 1000 );
24   JLINKARM_Reset();
25   JLINKARM_Halt();
26 
27   JLINKARM_WriteMem($20000000, size, application );
28 
29   JLINKARM_Reset();
30   JLINKARM_WriteReg( CM3_R15, pc );
31   JLINKARM_WriteReg( CM3_MSP, msp );
32   JLINKARM_WriteU32( $E000EDFC, $10000000 ); //  DEM_CR 
33 
34   JLINKARM_Go();
35   JLINKARM_Close();
36 
37 end;
复制代码
 

复制代码
  1 #ifdef __cplusplus
  2 extern "C"
  3 {
  4 #endif
  5 long __declspec(dllimport) JLINKARM_AddMirrorArea(long param);
  6 long __declspec(dllimport) JLINKARM_BeginDownload(long param);
  7 long __declspec(dllimport) JLINKARM_CORE_GetFound();
  8 long __declspec(dllimport) JLINKARM_CORE_Select();
  9 long __declspec(dllimport) JLINKARM_CP15_IsPresent();
 10 long __declspec(dllimport) JLINKARM_CP15_ReadEx(long param1, long param2, long param3, long param4);
 11 long __declspec(dllimport) JLINKARM_CP15_ReadReg(long param1, long param2);
 12 long __declspec(dllimport) JLINKARM_CP15_WriteEx(long param1, long param2, long param3, long param4);
 13 long __declspec(dllimport) JLINKARM_CP15_WriteReg(long param1, long param2);
 14 long __declspec(dllimport) JLINKARM_Clock();
 15 long __declspec(dllimport) JLINKARM_Close();
 16 long __declspec(dllimport) JLINKARM_ClrBP(long param);
 17 long __declspec(dllimport) JLINKARM_ClrBPEx(long param);
 18 long __declspec(dllimport) JLINKARM_ClrError();
 19 long __declspec(dllimport) JLINKARM_ClrRESET();
 20 long __declspec(dllimport) JLINKARM_ClrTDI();
 21 long __declspec(dllimport) JLINKARM_ClrTMS();
 22 long __declspec(dllimport) JLINKARM_ClrTRST();
 23 long __declspec(dllimport) JLINKARM_ClrWP(long param);
 24 long __declspec(dllimport) JLINKARM_Communicate(long param1, long param2, long param3, long param4);
 25 long __declspec(dllimport) JLINKARM_ConfigJTAG(long param1, long param2);
 26 long __declspec(dllimport) JLINKARM_DEVICE_GetInfo();
 27 long __declspec(dllimport) JLINKARM_DEVICE_GetSelected();
 28 long __declspec(dllimport) JLINKARM_DEVICE_Select();
 29 long __declspec(dllimport) JLINKARM_DownloadECode(long param1, long param2);
 30 long __declspec(dllimport) JLINKARM_EMU_FILE_Delete(long param);
 31 long __declspec(dllimport) JLINKARM_EMU_FILE_GetSize(long param);
 32 long __declspec(dllimport) JLINKARM_EMU_FILE_Read(long param1, long param2, long param3, long param4);
 33 long __declspec(dllimport) JLINKARM_EMU_FILE_Write(long param1, long param2, long param3, long param4);
 34 long __declspec(dllimport) JLINKARM_EMU_GetDeviceInfo(long param1, long param2);
 35 long __declspec(dllimport) JLINKARM_EMU_GetMaxMemBlock();
 36 long __declspec(dllimport) JLINKARM_EMU_GetNumDevices();
 37 long __declspec(dllimport) JLINKARM_EMU_IsConnected();
 38 long __declspec(dllimport) JLINKARM_EMU_SelectByIndex(long param);
 39 long __declspec(dllimport) JLINKARM_EMU_SelectByUSBSN(long param);
 40 long __declspec(dllimport) JLINKARM_ETB_IsPresent();
 41 long __declspec(dllimport) JLINKARM_ETB_ReadReg(long param);
 42 long __declspec(dllimport) JLINKARM_ETB_WriteReg(long param1, long param2, long param3);
 43 long __declspec(dllimport) JLINKARM_ETM_IsPresent();
 44 long __declspec(dllimport) JLINKARM_ETM_ReadReg(long param);
 45 long __declspec(dllimport) JLINKARM_ETM_StartTrace();
 46 long __declspec(dllimport) JLINKARM_ETM_WriteReg(long param1, long param2, long param3);
 47 long __declspec(dllimport) JLINKARM_EnableCheckModeAfterWrite(long param);
 48 long __declspec(dllimport) JLINKARM_EnableFlashCache(long param);
 49 long __declspec(dllimport) JLINKARM_EnableLog(void(*handle)(void*));
 50 long __declspec(dllimport) JLINKARM_EnableLogCom(long param);
 51 long __declspec(dllimport) JLINKARM_EnablePerformanceCnt(long param1, long param2);
 52 long __declspec(dllimport) JLINKARM_EnableSoftBPs(long param);
 53 long __declspec(dllimport) JLINKARM_EndDownload();
 54 long __declspec(dllimport) JLINKARM_ExecCommand(long param1, long param2, long param3);
 55 long __declspec(dllimport) JLINKARM_ExecECode();
 56 long __declspec(dllimport) JLINKARM_FindBP(long param);
 57 long __declspec(dllimport) JLINKARM_GetBPInfo(long param);
 58 long __declspec(dllimport) JLINKARM_GetBPInfoEx(long param1, long param2);
 59 long __declspec(dllimport) JLINKARM_GetCompileDateTime();
 60 long __declspec(dllimport) JLINKARM_GetConfigData(long param1, long param2);
 61 long __declspec(dllimport) JLINKARM_GetDLLVersion();
 62 long __declspec(dllimport) JLINKARM_GetDeviceFamily();
 63 long __declspec(dllimport) JLINKARM_GetDeviceId(long param);
 64 long __declspec(dllimport) JLINKARM_GetEmbeddedFWVersion();
 65 long __declspec(dllimport) JLINKARM_GetEmuCaps();
 66 long __declspec(dllimport) JLINKARM_GetFeatureString(long param);
 67 long __declspec(dllimport) JLINKARM_GetFirmwareString(long param1, long param2);
 68 long __declspec(dllimport) JLINKARM_GetHWInfo(long param1, long param2);
 69 long __declspec(dllimport) JLINKARM_GetHWStatus(long param);
 70 long __declspec(dllimport) JLINKARM_GetHardwareVersion();
 71 long __declspec(dllimport) JLINKARM_GetIRLen();
 72 long __declspec(dllimport) JLINKARM_GetId();
 73 long __declspec(dllimport) JLINKARM_GetIdData(long param);
 74 long __declspec(dllimport) JLINKARM_GetNumBPUnits(long param);
 75 long __declspec(dllimport) JLINKARM_GetNumBPs();
 76 long __declspec(dllimport) JLINKARM_GetNumWPs();
 77 long __declspec(dllimport) JLINKARM_GetOEMString(long param);
 78 long __declspec(dllimport) JLINKARM_GetPerformanceCnt(long param);
 79 long __declspec(dllimport) JLINKARM_GetRegisterName(long param);
 80 long __declspec(dllimport) JLINKARM_GetResetTypeDesc(long param1, long param2, long param3);
 81 long __declspec(dllimport) JLINKARM_GetSN();
 82 long __declspec(dllimport) JLINKARM_GetScanLen();
 83 long __declspec(dllimport) JLINKARM_GetSelDevice();
 84 long __declspec(dllimport) JLINKARM_GetSpeed();
 85 long __declspec(dllimport) JLINKARM_GetSpeedInfo(long param);
 86 long __declspec(dllimport) JLINKARM_GetU32(long param);
 87 long __declspec(dllimport) JLINKARM_GetWPInfoEx(long param1, long param2);
 88 long __declspec(dllimport) JLINKARM_GetpSharedMem();
 89 long __declspec(dllimport) JLINKARM_Go();
 90 long __declspec(dllimport) JLINKARM_GoAllowSim(long param);
 91 long __declspec(dllimport) JLINKARM_GoEx(long param1, long param2);
 92 long __declspec(dllimport) JLINKARM_GoHalt(long param);
 93 long __declspec(dllimport) JLINKARM_GoIntDis();
 94 long __declspec(dllimport) JLINKARM_Halt();
 95 long __declspec(dllimport) JLINKARM_HasError();
 96 long __declspec(dllimport) JLINKARM_INDICATORS_SetState(long param1, long param2);
 97 long __declspec(dllimport) JLINKARM_IsConnected();
 98 long __declspec(dllimport) JLINKARM_IsHalted();
 99 long __declspec(dllimport) JLINKARM_IsOpen();
100 long __declspec(dllimport) JLINKARM_JTAG_ConfigDevices(long param1, long param2);
101 long __declspec(dllimport) JLINKARM_JTAG_GetData(long param1, long param2, long param3);
102 long __declspec(dllimport) JLINKARM_JTAG_GetDeviceId(long param);
103 long __declspec(dllimport) JLINKARM_JTAG_GetU16(long param);
104 long __declspec(dllimport) JLINKARM_JTAG_GetU32(long param);
105 long __declspec(dllimport) JLINKARM_JTAG_GetU8(long param);
106 long __declspec(dllimport) JLINKARM_JTAG_StoreData(long param1, long param2);
107 long __declspec(dllimport) JLINKARM_JTAG_StoreGetData(long param1, long param2, long param3);
108 long __declspec(dllimport) JLINKARM_JTAG_StoreGetRaw(long param1, long param2, long param3, long param4);
109 long __declspec(dllimport) JLINKARM_JTAG_StoreInst(long param1, long param2);
110 long __declspec(dllimport) JLINKARM_JTAG_StoreRaw(long param1, long param2, long param3);
111 long __declspec(dllimport) JLINKARM_JTAG_SyncBits();
112 long __declspec(dllimport) JLINKARM_JTAG_SyncBytes();
113 long __declspec(dllimport) JLINKARM_JTAG_WriteData(long param1, long param2);
114 long __declspec(dllimport) JLINKARM_Lock();
115 long __declspec(dllimport) JLINKARM_MeasureCPUSpeed(long param1, long param2);
116 long __declspec(dllimport) JLINKARM_MeasureRTCKReactTime(long param);
117 long __declspec(dllimport) JLINKARM_MeasureSCLen(long param);
118 long __declspec(dllimport) JLINKARM_Open();
119 long __declspec(dllimport) JLINKARM_OpenEx(long param1, long param2);
120 long __declspec(dllimport) JLINKARM_ReadCodeMem(long param1, long param2, long param3);
121 long __declspec(dllimport) JLINKARM_ReadConfigReg(long param1, long param2);
122 long __declspec(dllimport) JLINKARM_ReadControlReg(long param1, long param2);
123 long __declspec(dllimport) JLINKARM_ReadDCC(long param1, long param2, long param3);
124 long __declspec(dllimport) JLINKARM_ReadDCCFast(long param1, long param2);
125 long __declspec(dllimport) JLINKARM_ReadDebugReg(long param1, long param2);
126 long __declspec(dllimport) JLINKARM_ReadEmu(long param1, long param2);
127 long __declspec(dllimport) JLINKARM_ReadEmuConfigMem(long param1, long param2, long param3);
128 long __declspec(dllimport) JLINKARM_ReadICEReg(long param1, long param2);
129 long __declspec(dllimport) JLINKARM_ReadMem(long param1, long param2, long param3);
130 long __declspec(dllimport) JLINKARM_ReadMemEx(long param1, long param2, long param3, long param4);
131 long __declspec(dllimport) JLINKARM_ReadMemHW(long param1, long param2, long param3);
132 long __declspec(dllimport) JLINKARM_ReadMemIndirect(long param1, long param2, long param3);
133 long __declspec(dllimport) JLINKARM_ReadMemU16(long memaddr, int size, short* buff, int flag);
134 long __declspec(dllimport) JLINKARM_ReadMemU32(long memaddr, int size, long* buff, int flag);
135 long __declspec(dllimport) JLINKARM_ReadMemU8(long memaddr, int size, char* buff, int flag);
136 long __declspec(dllimport) JLINKARM_ReadReg(long param);
137 long __declspec(dllimport) JLINKARM_Reset();
138 long __declspec(dllimport) JLINKARM_ResetNoHalt();
139 long __declspec(dllimport) JLINKARM_ResetPullsRESET(long param);
140 long __declspec(dllimport) JLINKARM_ResetPullsTRST();
141 long __declspec(dllimport) JLINKARM_ResetTRST();
142 long __declspec(dllimport) JLINKARM_SWO_Control();
143 long __declspec(dllimport) JLINKARM_SWO_Read();
144 long __declspec(dllimport) JLINKARM_SelDevice(long param);
145 long __declspec(dllimport) JLINKARM_SelectDeviceFamily(long param);
146 long __declspec(dllimport) JLINKARM_SelectIP(long param1, long param2);
147 long __declspec(dllimport) JLINKARM_SelectUSB(long);
148 long __declspec(dllimport) JLINKARM_SetBP(long param1, long param2);
149 long __declspec(dllimport) JLINKARM_SetBPEx(long param1, long param2);
150 long __declspec(dllimport) JLINKARM_SetEndian(long);
151 long __declspec(dllimport) JLINKARM_SetErrorOutHandler(void(*handle)(void*));
152 long __declspec(dllimport) JLINKARM_SetFlashArea(long param1, long param2, long param3);
153 long __declspec(dllimport) JLINKARM_SetInitRegsOnReset(long);
154 long __declspec(dllimport) JLINKARM_SetLogFile(char* filename);
155 long __declspec(dllimport) JLINKARM_SetMaxSpeed();
156 long __declspec(dllimport) JLINKARM_SetRESET();
157 long __declspec(dllimport) JLINKARM_SetResetDelay(long);
158 long __declspec(dllimport) JLINKARM_SetResetPara(long);
159 long __declspec(dllimport) JLINKARM_SetResetType(long);
160 long __declspec(dllimport) JLINKARM_SetSpeed(long speed);    //0-8000(kHz)
161 long __declspec(dllimport) JLINKARM_SetTDI();
162 long __declspec(dllimport) JLINKARM_SetTMS();
163 long __declspec(dllimport) JLINKARM_SetTRST();
164 long __declspec(dllimport) JLINKARM_SetWP(long param1, long param2, long param3, long param4, long param5);
165 long __declspec(dllimport) JLINKARM_SetWarnOutHandler(void(*handle)(void*));
166 long __declspec(dllimport) JLINKARM_SimulateInstruction(long param);
167 long __declspec(dllimport) JLINKARM_Step();
168 long __declspec(dllimport) JLINKARM_StepComposite();
169 long __declspec(dllimport) JLINKARM_StoreBits(long param1, long param2, long param3);
170 long __declspec(dllimport) JLINKARM_StoreCmd(long param1);
171 long __declspec(dllimport) JLINKARM_StoreData(long param1, long param2);
172 long __declspec(dllimport) JLINKARM_TIF_GetAvailable(long param1);
173 long __declspec(dllimport) JLINKARM_TIF_Select(long param1);
174 long __declspec(dllimport) JLINKARM_TRACE_AddInst(long param1, long param2);
175 long __declspec(dllimport) JLINKARM_TRACE_AddItems(long param1, long param2);
176 long __declspec(dllimport) JLINKARM_TRACE_Control(long param1, long param2);
177 long __declspec(dllimport) JLINKARM_TRACE_Read(long param1, long param2, long param3);
178 long __declspec(dllimport) JLINKARM_Test();
179 long __declspec(dllimport) JLINKARM_Unlock();
180 long __declspec(dllimport) JLINKARM_UpdateFirmware();
181 long __declspec(dllimport) JLINKARM_UpdateFirmwareIfNewer();
182 long __declspec(dllimport) JLINKARM_WA_AddRange(long param1, long param2);
183 long __declspec(dllimport) JLINKARM_WA_Restore();
184 long __declspec(dllimport) JLINKARM_WaitDCCRead(long param);
185 long __declspec(dllimport) JLINKARM_WriteBits();
186 long __declspec(dllimport) JLINKARM_WriteConfigReg(long param1, long param2);
187 long __declspec(dllimport) JLINKARM_WriteControlReg(long param1, long param2);
188 long __declspec(dllimport) JLINKARM_WriteDCC(long param1, long param2, long param3);
189 long __declspec(dllimport) JLINKARM_WriteDCCFast(long param1, long param2);
190 long __declspec(dllimport) JLINKARM_WriteDebugReg(long param1, long param2);
191 long __declspec(dllimport) JLINKARM_WriteEmu(long param1, long param2);
192 long __declspec(dllimport) JLINKARM_WriteEmuConfigMem(long param1, long param2, long param3);
193 long __declspec(dllimport) JLINKARM_WriteICEReg(long param1, long param2, long param3);
194 long __declspec(dllimport) JLINKARM_WriteMem(long param1, long param2, long param3);
195 long __declspec(dllimport) JLINKARM_WriteMemDelayed(long param1, long param2, long param3);
196 long __declspec(dllimport) JLINKARM_WriteMemEx(long param1, long param2, long param3, long param4);
197 long __declspec(dllimport) JLINKARM_WriteMemHW(long param1, long param2, long param3);
198 long __declspec(dllimport) JLINKARM_WriteReg(long param1, long param2);
199 long __declspec(dllimport) JLINKARM_WriteU16(long memaddr, short sh);
200 long __declspec(dllimport) JLINKARM_WriteU32(long memaddr, long ln);
201 long __declspec(dllimport) JLINKARM_WriteU8(long memaddr, char ch);
202 long __declspec(dllimport) JLINKARM_WriteVectorCatch(long param);
203 long __declspec(dllimport) JLINKARM_WriteVerifyMem(long param1, long param2, long param3, long param4);
204 /*
205 long __declspec(dllimport) JLINK_CP15_ReadReg();
206 long __declspec(dllimport) JLINK_Clock();
207 long __declspec(dllimport) JLINK_Close();
208 long __declspec(dllimport) JLINK_ClrBP();
209 long __declspec(dllimport) JLINK_ClrBPEx();
210 long __declspec(dllimport) JLINK_ClrError();
211 long __declspec(dllimport) JLINK_ClrRESET();
212 long __declspec(dllimport) JLINK_ClrTDI();
213 long __declspec(dllimport) JLINK_ClrTMS();
214 long __declspec(dllimport) JLINK_ClrTRST
215 long __declspec(dllimport) JLINK_ClrWP
216 long __declspec(dllimport) JLINK_ConfigJTAG
217 long __declspec(dllimport) JLINK_EMU_GetDeviceInfo
218 long __declspec(dllimport) JLINK_EMU_GetNumDevices
219 long __declspec(dllimport) JLINK_EMU_SelectByIndex
220 long __declspec(dllimport) JLINK_EMU_SelectByUSBSN
221 long __declspec(dllimport) JLINK_ETM_IsPresent
222 long __declspec(dllimport) JLINK_ETM_ReadReg
223 long __declspec(dllimport) JLINK_ETM_StartTrace
224 long __declspec(dllimport) JLINK_ETM_WriteReg
225 long __declspec(dllimport) JLINK_EnableCheckModeAfterWrite
226 long __declspec(dllimport) JLINK_EnableFlashCache
227 long __declspec(dllimport) JLINK_EnableLog
228 long __declspec(dllimport) JLINK_EnableLogCom
229 long __declspec(dllimport) JLINK_EnableSoftBPs
230 long __declspec(dllimport) JLINK_ExecCommand
231 long __declspec(dllimport) JLINK_FindBP
232 long __declspec(dllimport) JLINK_GetBPInfoEx
233 long __declspec(dllimport) JLINK_GetCompileDateTime
234 long __declspec(dllimport) JLINK_GetConfigData
235 long __declspec(dllimport) JLINK_GetDLLVersion
236 long __declspec(dllimport) JLINK_GetEmuCaps
237 long __declspec(dllimport) JLINK_GetFeatureString
238 long __declspec(dllimport) JLINK_GetFirmwareString
239 long __declspec(dllimport) JLINK_GetHWStatus
240 long __declspec(dllimport) JLINK_GetHardwareVersion
241 long __declspec(dllimport) JLINK_GetIRLen
242 long __declspec(dllimport) JLINK_GetId
243 long __declspec(dllimport) JLINK_GetIdData
244 long __declspec(dllimport) JLINK_GetNumBPUnits
245 long __declspec(dllimport) JLINK_GetNumBPs
246 long __declspec(dllimport) JLINK_GetNumWPs
247 long __declspec(dllimport) JLINK_GetOEMString
248 long __declspec(dllimport) JLINK_GetRegisterName
249 long __declspec(dllimport) JLINK_GetSN
250 long __declspec(dllimport) JLINK_GetScanLen
251 long __declspec(dllimport) JLINK_GetSelDevice
252 long __declspec(dllimport) JLINK_GetSpeed
253 long __declspec(dllimport) JLINK_GetU32
